Hole      Core-Sec.-Int.     Depth      Bio.sil.     Age
BDP-96-1     15   1 110      37.47        6.5      852.6
BDP-96-1     15   1 114      37.51       10.0      853.8
BDP-96-1     15   1 118      37.55       20.9      855.0
BDP-96-1     15   1 122      37.59       26.3      856.2
BDP-96-2     18   113.5     37.605       30.4      856.7
BDP-96-2     18   115.5     37.625       40.1      857.3
BDP-96-2     18   117.5     37.645       39.7      857.9
BDP-96-2     18   119.5     37.665       42.6      858.5
BDP-96-2     18   121.5     37.685       47.0      859.1
BDP-96-2     18   1  23       37.7       36.0      859.6
BDP-96-2     18   1  25      37.72       25.5      860.2
BDP-96-2     18   1  27      37.74       35.7      860.8
BDP-96-2     18   1  29      37.76       18.6      861.4
BDP-96-2     18   1  31      37.78       20.3      862.1
BDP-96-2     18   1  33       37.8       20.3      862.7
BDP-96-2     18   1  35      37.82       18.1      863.3
BDP-96-2     18   1  37      37.84       18.3      863.9
BDP-96-2     18   1  39      37.86       21.6      864.6
BDP-96-2     18   1  41      37.88       18.0      865.2
BDP-96-2     18   1  43       37.9       11.2      865.8
BDP-96-2     18   1  45      37.92       12.8      866.5
BDP-96-2     18   1  47      37.94       11.5      867.1
BDP-96-2     18   1  49      37.96        7.3      867.7
BDP-96-2     18   1  51      37.98        4.6      868.3
BDP-96-2     18   1  53         38        5.2      869.0
BDP-96-2     18   1  55      38.02        6.5      869.6
BDP-96-2     18   1  57      38.04        9.3      870.2
BDP-96-2     18   1  59      38.06        9.8      870.8
BDP-96-2     18   1  61      38.08        8.7      871.5
BDP-96-2     18   1  63       38.1        9.7      872.1
BDP-96-2     18   1  65      38.12       10.5      872.7
BDP-96-2     18   1  67      38.14       10.3      873.3
BDP-96-2     18   1  69      38.16       12.2      874.0
BDP-96-2     18   1  71      38.18       17.6      874.6
BDP-96-2     18   1  73       38.2       16.1      875.2
BDP-96-2     18   1  75      38.22       14.0      875.8
BDP-96-2     18   1  77      38.24       12.2      876.5
BDP-96-2     18   1  79      38.26       11.0      877.1
BDP-96-2     18   1  81      38.28       11.0      877.7
BDP-96-2     18   1  83       38.3       14.1      878.3
BDP-96-2     18   1  85      38.32       13.7      879.0
BDP-96-2     18   1  87      38.34       11.2      879.6
BDP-96-2     18   1  89      38.36       13.1      880.2
BDP-96-2     18   1  91      38.38       12.1      880.4
BDP-96-2     18   1  93       38.4        7.0      880.7
BDP-96-2     18   1  95      38.42        5.2      880.9
BDP-96-2     18   1  97      38.44        5.5      881.1
BDP-96-2     18   1  99      38.46        4.1      881.3
BDP-96-2     18   1 101      38.48        4.2      881.6
BDP-96-2     18   1 103       38.5        5.1      881.8
BDP-96-2     18   1 105      38.52        4.9      882.0
BDP-96-2     18   1 107      38.54        6.0      882.3
BDP-96-2     18   1 109      38.56        5.8      882.5
BDP-96-2     18   1 111      38.58        5.9      882.7
BDP-96-2     18   1 113       38.6        7.0      882.9
BDP-96-2     18   1 115      38.62        5.9      883.2
BDP-96-2     18   1 117      38.64        5.6      883.4
BDP-96-2     18   1 119      38.66        4.8      883.6
BDP-96-2     18   1 121      38.68        5.7      883.8
BDP-96-2     18   1 123       38.7        4.9      884.1
BDP-96-2     18   1 125      38.72        5.2      884.3
BDP-96-2     18   1 127      38.74        5.0      884.5
BDP-96-2     18   1 129      38.76        4.8      884.7
BDP-96-2     18   1 131      38.78        5.1      885.0
BDP-96-2     18   1 133       38.8        4.4      885.2
BDP-96-2     18   1 135      38.82        4.8      885.4
BDP-96-2     18   1 137      38.84        4.6      885.6
BDP-96-2     18   1 139      38.86        4.9      885.9
BDP-96-2     18   1 141      38.88        3.3      886.1
BDP-96-2     18   1 143       38.9        3.2      886.3
BDP-96-2     18   1 145      38.92        3.1      886.5
BDP-96-2     18   1 147      38.94        3.0      886.8
BDP-96-2     18   1 149      38.96        3.2      887.0
BDP-96-2     18   1 151      38.98        3.2      887.2
BDP-96-2     18   1 153         39        3.1      887.4
BDP-96-2     18   1 155      39.02        3.2      887.7
BDP-96-2     18   1 157      39.04        3.3      887.9
BDP-96-2     18   1 159      39.06        3.2      888.1
BDP-96-2     18   1 161      39.08        3.2      888.3
BDP-96-2     18   1 163       39.1        3.3      888.6
BDP-96-2     18   1 165      39.12        3.3      888.8
BDP-96-2     18   1 167      39.14        3.4      889.0
BDP-96-2     18   1 169      39.16        4.0      889.2
BDP-96-2     18   1 171      39.18        3.7      889.5
BDP-96-2     18   1 173       39.2        3.8      889.7
BDP-96-2     18   1 175      39.22        4.4      889.9
BDP-96-2     18   1 177      39.24        4.0      890.1
BDP-96-2     18   1 179      39.26        3.9      890.4
BDP-96-2     18   1 181      39.28        4.4      890.6
BDP-96-2     18   1 183       39.3        5.3      890.8
BDP-96-1     16   1  88      39.34        4.5      891.3
BDP-96-1     16   1  92      39.38        4.2      891.7
BDP-96-1     16   1  96      39.42        4.2      892.2
BDP-96-1     16   1 100      39.46        4.1      892.6
BDP-96-1     16   1 104       39.5        4.1      893.1
BDP-96-1     16   1 108      39.54        3.8      893.5
BDP-96-1     16   1 112      39.58        4.1      894.0
BDP-96-1     16   1 116      39.62        4.4      894.4
BDP-96-1     16   1 120      39.66        4.4      894.9
BDP-96-1     16   1 124       39.7        3.6      895.3
BDP-96-1     16   1 128      39.74        4.0      895.8
BDP-96-1     16   1 132      39.78        3.7      896.2
BDP-96-1     16   1 136      39.82        3.9      896.7
BDP-96-1     16   1 140      39.86        3.9      897.1
BDP-96-1     16   1 144       39.9        3.9      897.6
BDP-96-1     16   1 148      39.94        3.7      898.0
BDP-96-1     16   1 152      39.98        3.8      898.5
BDP-96-1     16   1 156      40.02        3.9      898.9
BDP-96-1     16   1 160      40.06        3.6      899.4
BDP-96-1     16   1 164       40.1        3.4      899.8
BDP-96-1     16   1 166      40.12        5.0      900.1
BDP-96-1     16   1 168      40.14        4.7      900.3
BDP-96-1     16   1 170      40.16        5.0      900.5
BDP-96-1     16   1 172      40.18        4.4      900.8
BDP-96-1     16   1 174       40.2        4.7      901.0
BDP-96-1     16   1 176      40.22        5.6      901.2
BDP-96-1     16   1 178      40.24        6.4      901.4
BDP-96-1     16   1 180      40.26        6.1      901.7
BDP-96-1     16   1 182      40.28        8.4      901.9
BDP-96-1     16   1 184       40.3        8.2      902.1
BDP-96-1     16   1 186      40.32        9.2      902.3
BDP-96-1     16   1 188      40.34        7.8      902.7
BDP-96-1     16   1 190      40.36        7.0      903.0
BDP-96-1     16   2   1      40.38        5.8      903.3
BDP-96-1     16   2   3       40.4        5.2      903.7
BDP-96-2     19   1  55      40.42        3.8      904.0
BDP-96-2     19   1  57      40.44        4.7      904.3
BDP-96-2     19   1  59      40.46        5.1      904.7
BDP-96-2     19   1  61      40.48        5.6      905.0
BDP-96-2     19   1  63       40.5        6.1      905.3
BDP-96-2     19   1  65      40.52        6.0      905.7
BDP-96-2     19   1  67      40.54        7.5      906.0
BDP-96-2     19   1  69      40.56        7.1      906.3
BDP-96-2     19   1  71      40.58        9.4      906.7
BDP-96-2     19   1  73       40.6        9.8      907.0
BDP-96-2     19   1  75      40.62       11.3      907.3
BDP-96-2     19   1  77      40.64       10.0      907.7
BDP-96-2     19   1  79      40.66        9.1      908.0
BDP-96-2     19   1  81      40.68        8.9      908.3
BDP-96-2     19   1  83       40.7        8.8      908.7
BDP-96-2     19   1  85      40.72        9.1      909.0
BDP-96-2     19   1  87      40.74        7.7      909.4
BDP-96-2     19   1  89      40.76        4.6      909.7
BDP-96-2     19   1  91      40.78        3.8      910.0
BDP-96-2     19   1  93       40.8        4.2      910.4
BDP-96-2     19   1  95      40.82        3.7      910.7
BDP-96-2     19   1  97      40.84        4.3      911.0
BDP-96-2     19   1  99      40.86        4.0      911.4
BDP-96-2     19   1 101      40.88        4.2      911.7
BDP-96-2     19   1 103       40.9        4.1      912.0
BDP-96-2     19   1 105      40.92        4.0      912.4
BDP-96-2     19   1 107      40.94        3.9      912.7
BDP-96-2     19   1 109      40.96        3.6      913.0
BDP-96-2     19   1 111      40.98        3.9      913.4
BDP-96-2     19   1 113         41        4.0      913.7
BDP-96-2     19   1 115      41.02        4.0      914.0
BDP-96-2     19   1 117      41.04        3.9      914.4
BDP-96-2     19   1 119      41.06        3.8      914.7
BDP-96-2     19   1 121      41.08        4.2      915.0
BDP-96-2     19   1 123       41.1        3.8      915.4
BDP-96-2     19   1 125      41.12        4.0      915.7
BDP-96-2     19   1 127      41.14        3.9      916.0
BDP-96-2     19   1 129      41.16        3.8      916.4
BDP-96-2     19   1 131      41.18        3.5      916.7
BDP-96-2     19   1 133       41.2        3.9      917.0
BDP-96-2     19   1 135      41.22        3.9      917.4
BDP-96-2     19   1 137      41.24        3.7      917.7
BDP-96-2     19   1 139      41.26        3.9      918.0
BDP-96-2     19   1 141      41.28        3.4      918.4
BDP-96-2     19   1 143       41.3        3.9      918.7
BDP-96-2     19   1 145      41.32        3.9      919.0
BDP-96-2     19   1 147      41.34        3.7      919.4
BDP-96-2     19   1 149      41.36        3.5      919.7
BDP-96-2     19   1 151      41.38        3.3      920.0
BDP-96-2     19   1 153       41.4        3.3      920.4
BDP-96-2     19   1 155      41.42        3.3      920.7
BDP-96-2     19   1 157      41.44        3.0      921.0
BDP-96-2     19   1 159      41.46        3.1      921.4
BDP-96-2     19   1 161      41.48        3.2      921.7
BDP-96-2     19   1 163       41.5        3.4      922.1
BDP-96-2     19   1 165      41.52        3.6      922.4
BDP-96-2     19   1 167      41.54        3.5      922.7
BDP-96-2     19   1 169      41.56        3.6      923.1
BDP-96-2     19   1 171      41.58        3.6      923.4
BDP-96-2     19   1 173       41.6        3.3      923.7
BDP-96-2     19   1 175      41.62        3.4      924.1
BDP-96-2     19   1 177      41.64        3.6      924.4
BDP-96-2     19   1 179      41.66        3.5      924.7
BDP-96-2     19   1 181      41.68        3.7      925.1
BDP-96-2     19   1 183       41.7        3.6      925.4
BDP-96-2     19   1 185      41.72        3.7      925.7
BDP-96-1     17   1  80      41.74        4.5      926.1
BDP-96-1     17   1  84      41.78        7.5      926.7
BDP-96-1     17   1  88      41.82       10.2      927.4
BDP-96-1     17   1  92      41.86        5.2      928.1
BDP-96-1     17   1  96       41.9       10.1      928.7
BDP-96-1     17   1 100      41.94        9.6      929.4
BDP-96-1     17   1 104      41.98       15.0      930.1
BDP-96-1     17   1 108      42.02       16.6      930.7
BDP-96-1     17   1 112      42.06       18.7      931.8
BDP-96-2     20   1   1      42.08       14.3      932.3
BDP-96-2     20   1   3       42.1       13.0      932.9
BDP-96-2     20   1   5      42.12       11.5      933.4
BDP-96-2     20   1   7      42.14       16.0      933.9
BDP-96-2     20   1   9      42.16       17.6      934.5
BDP-96-2     20   1  11      42.18       18.0      935.0
BDP-96-2     20   1  13       42.2       17.8      935.5
BDP-96-2     20   1  15      42.22       19.5      936.1
BDP-96-2     20   1  17      42.24       17.7      936.6
BDP-96-2     20   1  19      42.26       16.7      937.1
BDP-96-2     20   1  21      42.28       17.9      937.7
BDP-96-2     20   1  23       42.3       15.4      938.2
BDP-96-2     20   1  25      42.32       16.8      938.7
BDP-96-2     20   1  27      42.34       16.5      939.2
BDP-96-2     20   1  29      42.36       15.5      939.8
BDP-96-2     20   1  31      42.38       18.1      940.3
BDP-96-2     20   1  33       42.4       18.8      940.8
BDP-96-2     20   1  35      42.42       17.4      941.4
BDP-96-2     20   1  37      42.44       22.1      941.9
BDP-96-2     20   1  39      42.46       29.5      942.4
BDP-96-2     20   1  41      42.48       26.4      943.0
BDP-96-2     20   1  43       42.5       21.5      943.5
BDP-96-2     20   1  45      42.52       27.5      944.0
BDP-96-2     20   1  47      42.54       28.5      944.6
BDP-96-2     20   1  49      42.56       33.2      945.1
BDP-96-2     20   1  51      42.58       42.3      945.6
BDP-96-2     20   1  53       42.6       37.7      946.2
BDP-96-2     20   1  55      42.62       37.8      946.7
BDP-96-2     20   1  57      42.64       38.1      947.2
BDP-96-2     20   1  59      42.66       40.8      947.8
BDP-96-2     20   1  61      42.68       39.9      948.3
BDP-96-2     20   1  63       42.7       39.4      948.8
BDP-96-2     20   1  65      42.72       43.9      949.4
BDP-96-2     20   1  67      42.74       39.5      949.9
BDP-96-2     20   1  69      42.76       30.1      950.4
BDP-96-2     20   1  71      42.78       41.5      950.9
BDP-96-2     20   1  73       42.8       37.9      951.5
BDP-96-2     20   1  75      42.82       43.0      952.0
BDP-96-2     20   1  77      42.84       44.3      952.5
BDP-96-2     20   1  79      42.86       41.4      953.0
BDP-96-2     20   1  81      42.88       37.3      953.4
BDP-96-2     20   1  83       42.9       33.2      953.9
BDP-96-2     20   1  85      42.92       37.6      954.3
BDP-96-2     20   1  87      42.94       35.5      954.7
BDP-96-2     20   1  89      42.96       38.6      955.2
BDP-96-2     20   1  91      42.98       34.9      955.6
BDP-96-2     20   1  93         43       31.1      956.1
BDP-96-2     20   1  95      43.02       33.0      956.5
BDP-96-2     20   1  97      43.04       35.8      956.9
BDP-96-2     20   1  99      43.06       31.2      957.4
BDP-96-2     20   1 101      43.08       30.9      957.8
BDP-96-2     20   1 103       43.1       27.1      958.2
BDP-96-2     20   1 105      43.12       29.0      958.7
BDP-96-2     20   1 107      43.14       23.1      959.1
BDP-96-2     20   1 109      43.16       17.7      959.6
BDP-96-2     20   1 111      43.18       13.8      960.0
BDP-96-2     20   1 113       43.2       10.2      960.4
BDP-96-2     20   1 115      43.22        8.8      960.9
BDP-96-2     20   1 117      43.24        8.5      961.3
BDP-96-2     20   1 119      43.26        5.2      961.8
BDP-96-2     20   1 121      43.28        5.2      962.2
BDP-96-2     20   1 123       43.3        4.8      962.6
BDP-96-2     20   1 125      43.32        3.9      963.1
BDP-96-2     20   1 127      43.34        3.7      963.5
BDP-96-2     20   1 129      43.36        4.0      964.0
BDP-96-2     20   1 131      43.38        3.8      964.4
BDP-96-2     20   1 133       43.4        3.6      964.8
BDP-96-2     20   1 135      43.42        3.5      965.3
BDP-96-2     20   1 137      43.44        3.7      965.7
BDP-96-2     20   1 139      43.46        3.8      966.1
BDP-96-2     20   1 141      43.48        3.5      966.6
BDP-96-2     20   1 143       43.5        3.4      967.0
BDP-96-2     20   1 145      43.52        3.4      967.5
BDP-96-2     20   1 147      43.54        3.5      967.9
BDP-96-2     20   1 149      43.56        3.6      968.3
BDP-96-2     20   1 151      43.58        4.3      968.8
BDP-96-1     18   1  74       43.6        9.8      969.2
BDP-96-1     18   1  76      43.62       10.3      969.7
BDP-96-1     18   1  78      43.64        9.4      970.1
BDP-96-1     18   1  80      43.66        5.6      970.5
BDP-96-1     18   1  82      43.68        5.0      971.0
BDP-96-1     18   1  84       43.7        5.0      971.4
BDP-96-1     18   1  86      43.72        5.8      971.9
BDP-96-1     18   1  88      43.74        6.5      972.3
BDP-96-1     18   1  90      43.76        9.5      972.7
BDP-96-1     18   1  92      43.78       11.6      973.2
BDP-96-1     18   1  94       43.8       14.1      973.6
BDP-96-1     18   1  96      43.82       16.8      974.0
BDP-96-1     18   1  98      43.84       16.0      974.4
BDP-96-1     18   1 100      43.86       16.1      974.8
BDP-96-1     18   1 102      43.88       14.7      975.2
BDP-96-1     18   1 104       43.9       14.3      975.6
BDP-96-1     18   1 106      43.92       12.8      975.9
BDP-96-1     18   1 108      43.94       13.1      976.3
BDP-96-1     18   1 110      43.96       11.9      976.7
BDP-96-1     18   1 112      43.98        8.9      977.1
BDP-96-1     18   1 114         44       11.3      977.5
BDP-96-1     18   1 116      44.02       15.1      977.8
BDP-96-1     18   1 118      44.04       10.0      978.2
BDP-96-1     18   1 120      44.06        8.4      978.6
BDP-96-1     18   1 122      44.08        7.7      979.0
BDP-96-1     18   1 124       44.1        7.8      979.3
BDP-96-1     18   1 126      44.12        7.3      979.7
BDP-96-1     18   1 128      44.14        6.4      980.1
BDP-96-1     18   1 130      44.16        6.4      980.5
BDP-96-1     18   1 132      44.18        6.7      980.9
BDP-96-1     18   1 134       44.2        6.6      981.2
BDP-96-1     18   1 136      44.22        6.4      981.6
BDP-96-1     18   1 138      44.24        7.2      982.0
BDP-96-1     18   1 140      44.26        8.4      982.4
BDP-96-1     18   1 142      44.28        9.4      982.7
BDP-96-1     18   1 144       44.3        9.2      983.1
BDP-96-1     18   1 146      44.32        7.3      983.5
BDP-96-1     18   1 148      44.34        7.8      983.9
BDP-96-1     18   1 150      44.36        5.8      984.3
BDP-96-1     18   1 152      44.38        5.4      984.6
BDP-96-1     18   1 154       44.4        3.6      985.0
BDP-96-1     18   1 156      44.42        3.5      985.4
BDP-96-1     18   1 158      44.44        3.6      985.8
BDP-96-1     18   1 160      44.46        4.4      986.1
BDP-96-1     18   1 162      44.48        3.1      986.5
BDP-96-1     18   1 164       44.5        5.3      986.9
BDP-96-1     18   1 166      44.52        5.2      987.3
BDP-96-1     18   1 168      44.54        4.8      987.7
BDP-96-1     18   1 170      44.56        4.5      988.0
BDP-96-1     18   1 172      44.58        5.0      988.4
BDP-96-1     18   1 174       44.6        5.1      988.8
BDP-96-1     18   1 176      44.62        5.5      989.2
BDP-96-1     18   1 178      44.64        5.3      989.5
BDP-96-1     18   1 180      44.66        4.5      989.9
BDP-96-1     18   2   1      44.68        4.8      990.3
BDP-96-1     18   2   3       44.7        5.0      990.7
BDP-96-1     18   2   5      44.72        4.0      991.1
BDP-96-1     18   2   7      44.74        4.3      991.4
BDP-96-1     18   2   9      44.76        4.5      991.8
BDP-98       20   1 114      44.78        6.0      992.2
BDP-98       20   1 116       44.8        5.5      992.6
BDP-98       20   1 118      44.82        6.5      992.9
BDP-98       20   1 120      44.84        8.4      993.3
BDP-98       20   1 122      44.86        9.7      993.7
BDP-98       20   1 124      44.88       11.5      994.1
BDP-98       20   1 126       44.9       15.6      994.5
BDP-98       20   1 128      44.92       21.3      994.8
BDP-98       20   1 130      44.94       18.8      995.2
BDP-98       20   1 132      44.96       20.0      995.6
BDP-98       20   1 134      44.98       19.5      996.0
BDP-98       20   1 136         45       15.4      996.4
BDP-98       20   1 138      45.02       14.0      996.8
BDP-98       20   1 140      45.04       15.3      997.2
BDP-98       20   1 142      45.06       12.0      997.7
BDP-98       20   1 144      45.08       11.3      998.1
BDP-96-1     19   1  21      45.11        9.8      998.7
BDP-96-1     19   1  23      45.13        8.0      999.1
BDP-96-1     19   1  25      45.15        7.3      999.5
BDP-96-1     19   1  27      45.17        7.4      999.9
BDP-96-1     19   1  29      45.19        7.2     1000.4
BDP-96-1     19   1  31      45.21        7.5     1000.8
BDP-96-1     19   1  33      45.23        5.6     1001.2
BDP-96-1     19   1  34      45.24        6.0     1001.4
BDP-96-1     19   1  36      45.26        6.5     1001.8
BDP-96-1     19   1  39      45.29        9.6     1002.4
BDP-96-1     19   1  41      45.31        8.4     1002.8
BDP-96-1     19   1  43      45.33        9.2     1003.3
BDP-96-1     19   1  45      45.35        8.0     1003.7
BDP-96-1     19   1  47      45.37        8.4     1004.1
BDP-96-1     19   1  49      45.39        6.5     1004.5
BDP-96-1     19   1  51      45.41        5.2     1004.9
BDP-96-1     19   1  53      45.43        4.8     1005.3
BDP-96-1     19   1  56      45.46        3.6     1005.9
BDP-96-1     19   1  58      45.48        5.3     1006.4
BDP-96-1     19   1  59      45.49        5.4     1006.6
BDP-96-1     19   1  61      45.51        5.8     1007.0
BDP-96-1     19   1  63      45.53        5.2     1007.4
BDP-96-1     19   1  65      45.55        4.8     1007.8
BDP-96-1     19   1  67      45.57        5.3     1008.2
BDP-96-1     19   1  69      45.59        5.0     1008.6
BDP-96-1     19   1  71      45.61        5.3     1009.1
BDP-96-1     19   1  73      45.63        5.0     1009.5
BDP-96-1     19   1  76      45.66        6.9     1010.1
BDP-96-1     19   1  79      45.69        6.0     1010.7
BDP-96-1     19   1  81      45.71        8.6     1011.1
BDP-96-1     19   1  83      45.73        8.8     1011.5
BDP-96-1     19   1  85      45.75        7.3     1012.0
BDP-96-1     19   1  87      45.77        5.5     1012.4
BDP-96-1     19   1  89      45.79        4.3     1012.8
BDP-96-1     19   1  91      45.81        5.2     1013.2
BDP-96-1     19   1  93      45.83        4.8     1013.6
BDP-96-1     19   1  94      45.84        4.5     1013.8
BDP-96-1     19   1  96      45.86        5.3     1014.2
BDP-96-1     19   1  98      45.88        5.6     1014.6
BDP-96-1     19   1  99      45.89        5.2     1014.8
BDP-96-1     19   1 101      45.91        5.0     1015.3
BDP-96-1     19   1 103      45.93        5.3     1015.7
BDP-96-1     19   1 105      45.95        5.5     1016.1
BDP-96-1     19   1 107      45.97        7.0     1016.5
BDP-96-1     19   1 109      45.99        7.7     1016.9
BDP-96-1     19   1 110         46        7.2     1017.1
BDP-96-1     19   1 112      46.02        9.0     1017.5
BDP-96-1     19   1 114      46.04       10.1     1018.0
BDP-96-1     19   1 116      46.06       12.1     1018.4
BDP-96-1     19   1 118      46.08       12.4     1018.8
BDP-96-1     19   1 120       46.1       15.4     1019.2
BDP-96-1     19   1 122      46.12       17.0     1019.6
BDP-96-1     19   1 124      46.14       21.1     1020.0
BDP-96-1     19   1 126      46.16       19.1     1020.4
BDP-96-1     19   1 128      46.18       18.1     1020.9
BDP-96-1     19   1 130       46.2       20.2     1021.3
BDP-96-1     19   1 132      46.22       26.4     1021.7
BDP-96-1     19   1 134      46.24       22.1     1022.2
BDP-96-1     19   1 136      46.26       24.7     1022.8
BDP-96-1     19   1 138      46.28       22.3     1023.4
BDP-96-1     19   1 140       46.3       24.7     1023.9
BDP-96-1     19   1 142      46.32       23.8     1024.5
BDP-96-1     19   1 144      46.34       23.5     1025.0
BDP-96-1     19   1 146      46.36       20.6     1025.6
BDP-96-1     19   1 148      46.38       20.3     1026.2
BDP-96-1     19   1 150       46.4       21.5     1026.7
BDP-96-1     19   1 152      46.42       23.0     1027.3
BDP-96-1     19   1 154      46.44       14.8     1027.9
BDP-96-1     19   1 156      46.46       11.1     1028.4
BDP-96-1     19   1 158      46.48        6.8     1029.0
BDP-96-1     19   1 160       46.5        6.1     1029.5
BDP-96-1     19   1 164      46.54       13.3     1030.7
BDP-96-1     19   1 166      46.56       12.8     1031.2
BDP-96-1     19   1 168      46.58       18.1     1031.8
BDP-96-1     19   1 170       46.6       18.2     1032.3
BDP-96-1     19   1 172      46.62       17.7     1032.9
BDP-96-1     19   1 174      46.64       19.9     1033.5
BDP-96-2     22   1  51      46.66       20.3     1034.0
BDP-96-2     22   1  53      46.68       14.5     1034.6
BDP-96-2     22   1  55       46.7       13.3     1035.1
BDP-96-2     22   1  57      46.72       12.6     1035.7
BDP-96-2     22   1  59      46.74       12.2     1036.3
BDP-96-2     22   1  61      46.76       12.7     1036.8
BDP-96-2     22   1  63      46.78       10.2     1037.4
BDP-96-2     22   1  65       46.8        9.6     1037.9
BDP-96-2     22   1  67      46.82        9.7     1038.5
BDP-96-2     22   1  71      46.86       10.1     1039.6
BDP-96-2     22   1  73      46.88       11.4     1040.2
BDP-96-2     22   1  75       46.9        7.9     1040.8
BDP-96-2     22   1  77      46.92        5.8     1041.3
BDP-96-2     22   1  79      46.94        5.5     1041.9
BDP-96-2     22   1  81      46.96        5.3     1042.4
BDP-96-2     22   1  83      46.98        7.3     1043.0
BDP-96-2     22   1  85         47        9.8     1043.6
BDP-96-2     22   1  87      47.02       11.0     1044.1
BDP-96-2     22   1  89      47.04       11.0     1044.7
BDP-96-2     22   1  91      47.06        8.7     1045.2
BDP-96-2     22   1  93      47.08       14.4     1045.8
BDP-96-2     22   1  95       47.1       10.6     1046.0
BDP-96-2     22   1  97      47.12       12.3     1046.2
BDP-96-2     22   1  99      47.14        7.3     1046.5
BDP-96-2     22   1 101      47.16        7.2     1046.7
BDP-96-2     22   1 103      47.18        6.6     1046.9
BDP-96-2     22   1 105       47.2        6.7     1047.1
BDP-96-2     22   1 107      47.22       10.2     1047.4
BDP-96-2     22   1 109      47.24        4.3     1047.6
BDP-96-2     22   1 111      47.26        4.3     1047.8
BDP-96-2     22   1 113      47.28        3.6     1048.0
BDP-96-2     22   1 115       47.3        3.2     1048.3
BDP-96-2     22   1 117      47.32        3.4     1048.5
BDP-96-2     22   1 119      47.34        3.7     1048.7
BDP-96-2     22   1 121      47.36        3.2     1048.9
BDP-96-2     22   1 123      47.38        3.2     1049.2
BDP-96-2     22   1 125       47.4        3.4     1049.4
BDP-96-2     22   1 127      47.42        3.4     1049.6
BDP-96-2     22   1 129      47.44        4.0     1049.8
BDP-96-2     22   1 131      47.46        3.8     1050.1
BDP-96-2     22   1 133      47.48        3.8     1050.3
BDP-96-2     22   1 135       47.5        3.6     1050.5
BDP-96-2     22   1 137      47.52        3.6     1050.7
BDP-96-2     22   1 139      47.54        3.3     1051.0
BDP-96-2     22   1 141      47.56        3.0     1051.2
BDP-96-2     22   1 143      47.58        2.8     1051.4
BDP-96-2     22   1 145       47.6        3.0     1051.6
BDP-96-2     22   1 147      47.62        2.9     1051.9
BDP-96-2     22   1 149      47.64        2.8     1052.1
BDP-96-2     22   1 151      47.66        3.0     1052.3
BDP-96-2     22   1 153      47.68        2.8     1052.5
BDP-96-2     22   1 155       47.7        2.8     1052.8
BDP-96-2     22   1 157      47.72        2.9     1053.0
BDP-96-2     22   1 159      47.74        3.2     1053.2
BDP-96-2     22   1 161      47.76        2.4     1053.4
BDP-96-2     22   1 163      47.78        3.2     1053.7
BDP-96-2     22   1 165       47.8        2.8     1053.9
BDP-96-2     22   1 167      47.82        3.2     1054.1
BDP-96-2     22   1 169      47.84        2.6     1054.3
BDP-96-2     22   1 171      47.86        2.8     1054.6
BDP-96-2     22   1 173      47.88        2.8     1054.8
BDP-96-2     22   1 175       47.9        3.1     1055.0
BDP-96-2     22   1 177      47.92        2.8     1055.2
BDP-96-2     22   1 179      47.94        3.2     1055.4
BDP-96-2     22   1 181      47.96        3.3     1055.7
BDP-96-2     22   1 183      47.98        2.8     1055.9
BDP-96-2     22   1 185         48        3.5     1056.1
BDP-96-2     22   1 187      48.02        2.9     1056.3
BDP-96-2     22   1 189      48.04        3.3     1056.6
BDP-96-2     23   1   1      48.09        3.5     1057.1
BDP-96-2     23   1   3      48.11        3.6     1057.4
BDP-96-2     23   1   5      48.13        3.4     1057.6
BDP-96-2     23   1   7      48.15        3.2     1057.8
BDP-96-2     23   1   9      48.17        3.6     1058.0
BDP-96-2     23   1  11      48.19        3.8     1058.3
BDP-96-2     23   1  13      48.21        3.7     1058.5
BDP-96-2     23   1  15      48.23        3.6     1058.7
BDP-96-2     23   1  17      48.25        3.7     1058.9
BDP-96-2     23   1  19      48.27        3.5     1059.2
BDP-96-2     23   1  21      48.29        3.9     1059.4
BDP-96-2     23   1  25      48.33        4.8     1059.8
BDP-96-2     23   1  27      48.35        5.2     1060.1
BDP-96-2     23   1  29      48.37        5.8     1060.3
BDP-96-2     23   1  31      48.39        5.9     1060.5
BDP-96-2     23   1  33      48.41        5.6     1060.7
BDP-96-2     23   1  35      48.43        5.8     1060.9
BDP-96-2     23   1  37      48.45        5.3     1061.2
BDP-96-2     23   1  39      48.47        5.3     1061.4
BDP-96-2     23   1  41      48.49        6.8     1061.6
BDP-96-2     23   1  43      48.51        5.7     1061.8
BDP-96-2     23   1  45      48.53        7.3     1062.1
BDP-96-2     23   1  47      48.55       10.1     1062.3
BDP-96-2     23   1  49      48.57       22.4     1062.5
BDP-96-2     23   1  51      48.59       14.1     1062.7
BDP-96-2     23   1  53      48.61       14.0     1063.0
BDP-96-2     23   1  55      48.63       35.6     1063.2
BDP-96-2     23   1  57      48.65       33.3     1063.4
BDP-96-2     23   1  59      48.67       35.6     1063.6
BDP-96-2     23   1  61      48.69       30.7     1063.9
BDP-96-2     23   1  63      48.71       38.5     1064.1
BDP-96-2     23   1  65      48.73       38.6     1064.3
BDP-96-2     23   1  67      48.75       37.9     1064.5
BDP-96-2     23   1  69      48.77       36.2     1064.8
BDP-96-2     23   1  71      48.79       43.9     1065.0
