Hole      Core-Sec.-Int.     Depth      Bio.sil.     Age
BDP-96-2      3   1 159       6.65        5.6      151.5
BDP-96-2      3   1 163       6.69        5.0      152.1
BDP-96-2      3   1 165       6.71        6.1      152.4
BDP-96-2      3   1 167       6.73        5.0      152.7
BDP-96-2      3   1 169       6.75        5.9      153.0
BDP-96-2      3   1 171       6.77        4.5      153.3
BDP-96-2      3   1 173       6.79        4.2      153.6
BDP-96-2      3   1 175       6.81        3.7      153.9
BDP-96-2      3   1 177       6.83        3.7      154.2
BDP-96-2      3   1 179       6.85        3.6      154.5
BDP-96-2      3   1 181       6.87        4.3      154.8
BDP-96-2      3   1 183       6.89        3.9      155.1
BDP-96-2      3   1 185       6.91        3.8      155.3
BDP-96-2      3   1 187       6.93        4.3      155.6
BDP-96-2      3   1 189       6.95        5.1      155.9
BDP-96-2      3   2   1       6.97        3.2      156.2
BDP-96-2      3   2   3       6.99        3.2      156.5
BDP-96-2      3   2   5       7.01        3.0      156.8
BDP-96-2      3   2   7       7.03        3.8      157.1
BDP-96-2      3   2   9       7.05        4.3      157.4
BDP-96-2      3   2  11       7.07        4.4      157.7
BDP-96-2      3   2  13       7.09        4.3      158.0
BDP-96-2      4   1   3        7.1        3.7      158.2
BDP-96-2      4   1   5       7.12        2.9      158.4
BDP-96-2      4   1   7       7.14        3.1      158.7
BDP-96-2      4   1   9       7.16        2.9      159.0
BDP-96-2      4   1  11       7.18        3.8      159.3
BDP-96-2      4   1  13        7.2        2.8      159.6
BDP-96-2      4   1  15       7.22        3.4      159.9
BDP-96-2      4   1  17       7.24        3.9      160.2
BDP-96-2      4   1  19       7.26        3.3      160.5
BDP-96-2      4   1  21       7.28        3.4      160.8
BDP-96-2      4   1  23        7.3        3.5      161.1
BDP-96-2      4   1  25       7.32        3.0      161.4
BDP-96-2      4   1  27       7.34        3.1      161.7
BDP-96-2      4   1  29       7.36        3.1      162.0
BDP-96-2      4   1  33        7.4        3.1      162.6
BDP-96-2      4   1  35       7.42        3.0      162.9
BDP-96-2      4   1  37       7.44        4.0      163.2
BDP-96-2      4   1  39       7.46        3.1      163.5
BDP-96-2      4   1  41       7.48        3.2      163.8
BDP-96-2      4   1  43        7.5        3.1      164.1
BDP-96-2      4   1  45       7.52        2.9      164.4
BDP-96-2      4   1  47       7.54        3.9      164.6
BDP-96-2      4   1  49       7.56        3.2      164.9
BDP-96-2      4   1  51       7.58        4.0      165.2
BDP-96-2      4   1  53        7.6        3.7      165.5
BDP-96-2      4   1  55       7.62        3.7      165.8
BDP-96-2      4   1  57       7.64        4.4      166.1
BDP-96-2      4   1  59       7.66        4.7      166.4
BDP-96-2      4   1  61       7.68        4.1      166.7
BDP-96-2      4   1  63        7.7        4.1      167.0
BDP-96-2      4   1  65       7.72        4.7      167.3
BDP-96-2      4   1  67       7.74        3.7      167.6
BDP-96-2      4   1  69       7.76        4.7      167.9
BDP-96-2      4   1  73        7.8        3.8      168.5
BDP-96-2      4   1  75       7.82        4.9      168.8
